Date,Close/Last,Volume,Open,High,Low
9/24/2025,609.5,23787300,612.63,612.74,608.19
9/23/2025,611.54,10753000,614.705,615.26,610.341
9/22/2025,614.76,11583810,610.52,615.22,610.51
9/19/2025,611.78,6065655,610.62,612.67,608.85
9/18/2025,608.94,11057540,608.55,611.31,607.07
9/17/2025,606.09,11613630,606.84,608.33,601.55
9/16/2025,606.79,6393185,608.16,608.42,606.0609
9/15/2025,607.59,7710693,606.47,607.77,606.2
9/12/2025,604.44,8130498,604.59,605.98,603.95
9/11/2025,604.57,9109717,601.43,605.23,600.89
9/10/2025,599.68,21641070,600.92,601.75,598.16
9/9/2025,597.95,7844787,596.61,598.37,595.01
9/8/2025,596.5,9472235,596.31,597.41,595.03
9/5/2025,594.96,6641512,598.91,599.6,591.45
9/4/2025,596.59,8045575,592.47,596.77,591.6
9/3/2025,591.72,8205922,590.81,592.23,588.78
9/2/2025,588.71,11116700,586.06,588.8,583.67
8/29/2025,593.08,7512032,595.24,595.55,591.245
8/28/2025,596.52,5058689,595.07,597.07,593.27
8/27/2025,594.42,6171422,592.52,595.14,592.44
8/26/2025,593.06,4776577,590.38,593.43,589.795
8/25/2025,590.7,6483035,592.05,593.2299,590.55
8/22/2025,593.21,6389278,586.27,594.32,585.84
8/21/2025,584.27,4807277,584.93,586.46,582.65
8/20/2025,586.58,7113572,587.81,588,581.85
8/19/2025,588.13,6739284,591.25,592.12,586.94
8/18/2025,591.36,5311743,590.98,592.02,590.35
8/15/2025,591.57,7196315,593.86,593.95,590.66
8/14/2025,592.85,6236666,590.92,593.51,590.5
8/13/2025,592.84,5392973,592.86,594.03,590.81
8/12/2025,590.78,5874245,586.75,590.96,585.435
8/11/2025,584.54,5373949,586.03,587.36,583.44
8/8/2025,585.74,4342341,582.93,586.17,582.6
8/7/2025,581.29,4594260,584.87,585.52,578.3127
8/6/2025,581.64,4545015,578.25,582.27,577.41
8/5/2025,577.35,4647381,580.79,581.5,576.4
8/4/2025,580.14,6640089,575.17,580.21,575.08
8/1/2025,571.45,8781254,575.73,575.74,569.29
